School,Enrollment,Up to date,Up to date %,Conditional,PME,PBE,PBE (Religious),City
NINETY-THIRD STREET ELEMENTARY,174,108,62,66,0,0,0,LOS ANGELES
GEORGE WASHINGTON CARVER ELEMENTARY,174,159,91,14,1,0,0,SANTA ANA
MCKINLEY ELEMENTARY,172,93,54,79,0,0,0,LONG BEACH
WASHINGTON ELEMENTARY,172,169,98,0,1,2,0,REDONDO BEACH
RIO VISTA ELEMENTARY,172,168,98,3,0,1,0,ANAHEIM
TWO BUNCH PALMS ELEMENTARY,172,166,97,5,0,1,0,DESERT HOT SPRINGS
MCKINNA ELEMENTARY,172,172,100,0,0,0,0,OXNARD
MARK KEPPEL ELEMENTARY,171,152,89,1,0,18,0,GLENDALE
HERMOSA VIEW ELEMENTARY,171,153,89,12,1,5,1,HERMOSA BEACH
MILES AVENUE ELEMENTARY,171,20,12,151,0,0,0,HUNTINGTON PARK
FIFTY-SECOND STREET ELEMENTARY,171,31,18,140,0,0,0,LOS ANGELES
JOHN MUIR FUNDAMENTAL ELEMENTARY,171,167,98,1,0,3,3,SANTA ANA
WOODBURY ELEMENTARY,170,156,92,9,0,5,0,IRVINE
JIM THORPE FUNDAMENTAL,170,168,99,2,0,0,0,SANTA ANA
NORTH RIDGE ELEMENTARY,170,166,98,1,1,2,0,MORENO VALLEY
EASTMAN AVENUE ELEMENTARY,169,162,96,7,0,0,0,LOS ANGELES
NINETY-FIFTH STREET ELEMENTARY,169,152,90,16,1,0,0,LOS ANGELES
SHERMAN OAKS ELEMENTARY CHARTER,169,155,92,9,0,5,0,SHERMAN OAKS
HICKORY ELEMENTARY,169,159,94,4,0,6,0,TORRANCE
GREENVILLE FUNDAMENTAL ELEMENTARY,169,168,99,1,0,0,0,SANTA ANA
EARL WARREN ELEMENTARY,169,158,93,4,1,6,3,LAKE ELSINORE
OLEANDER ELEMENTARY,168,168,100,0,0,0,0,FONTANA
CHRISTA MCAULIFFE ELEMENTARY,168,164,98,4,0,0,0,OXNARD
NUEVA VISTA ELEMENTARY,167,110,66,57,0,0,0,BELL
SYLVAN PARK ELEMENTARY,167,166,99,1,0,0,0,VAN NUYS
ROSS -BETSY- ELEMENTARY,167,164,98,3,0,0,0,ANAHEIM
LAS LOMAS ELEMENTARY,167,161,96,4,2,0,0,LA HABRA
RAMONA ELEMENTARY,167,167,100,0,0,0,0,MORENO VALLEY
FOSTER ELEMENTARY,166,160,96,6,0,0,0,COMPTON
JULIA B. MORRISON ELEMENTARY,166,163,98,3,0,0,0,NORWALK
CALIFORNIA VIRTUAL ACADEMY LOS ANGELES,166,111,67,17,0,38,36,SIMI VALLEY
MAIN STREET ELEMENTARY,165,144,87,21,0,0,0,LOS ANGELES
STANFORD PRIMARY CENTER,165,124,75,41,0,0,0,SOUTH GATE
MORGAN KINCAID PREPARATORY SCHOOL OF INTEGRATED STUDIES,165,141,85,22,0,2,2,VICTORVILLE
NORMANDIE AVENUE ELEMENTARY,164,65,40,99,0,0,0,LOS ANGELES
SOUTH PARK ELEMENTARY,164,164,100,0,0,0,0,LOS ANGELES
JOHN F. KENNEDY ELEMENTARY,164,164,100,0,0,0,0,SANTA ANA
EUCALYPTUS,163,158,97,5,0,0,0,HAWTHORNE
HICKS CANYON ELEMENTARY,163,150,92,3,3,7,0,IRVINE
FRUITVALE ELEMENTARY,163,154,94,8,0,1,0,HEMET
YSABEL BARNETT ELEMENTARY,163,148,91,3,0,12,1,TEMECULA
JACK NORTHROP ELEMENTARY,162,157,97,2,3,0,0,LANCASTER
