School,Enrollment,Up to date,Up to date %,Conditional,PME,PBE,PBE (Religious),City
WOODROW WILSON ELEMENTARY,135,131,97,1,0,3,0,CORONA
LONGFELLOW ELEMENTARY,135,130,96,5,0,0,0,RIVERSIDE
CHARLOTTE N. WERNER ELEMENTARY,135,131,97,4,0,0,0,RIALTO
SIERRA LINDA ELEMENTARY,135,134,99,1,0,0,0,OXNARD
MADISON ELEMENTARY,134,127,95,6,1,0,0,SOUTH GATE
LA MERCED ELEMENTARY,134,130,97,3,0,1,0,MONTEBELLO
WASHINGTON ELEMENTARY,134,133,99,1,0,0,0,POMONA
ROBERT HEIDEMAN ELEMENTARY,134,132,99,2,0,0,0,TUSTIN
ANDERSON ELEMENTARY,134,134,100,0,0,0,0,GARDEN GROVE
VALLE DEL SOL ELEMENTARY,134,133,99,1,0,0,0,COACHELLA
VALLEY VIEW ELEMENTARY,134,134,100,0,0,0,0,COACHELLA
TEMESCAL VALLEY ELEMENTARY,134,130,97,3,0,1,0,CORONA
MACHADO ELEMENTARY,134,134,100,0,0,0,0,LAKE ELSINORE
JOSHUA CIRCLE ELEMENTARY,134,130,97,4,0,0,0,HESPERIA
LIBERTY ELEMENTARY,134,127,95,2,0,5,3,VICTORVILLE
CHAPMAN HEIGHTS ELEMENTARY,134,126,94,6,0,2,0,YUCAIPA
VINELAND ELEMENTARY,133,133,100,0,0,0,0,BALDWIN PARK
WILLIAMS ELEMENTARY,133,128,96,5,0,0,0,DOWNEY
KORNBLUM,133,108,81,24,0,1,1,HAWTHORNE
DOLORES STREET ELEMENTARY,133,4,3,129,0,0,0,CARSON
FLORENCE AVENUE ELEMENTARY,133,90,68,43,0,0,0,LOS ANGELES
GATES STREET ELEMENTARY,133,69,52,63,0,1,0,LOS ANGELES
PARTHENIA STREET ELEMENTARY,133,131,99,1,1,0,0,NORTH HILLS
MONTEREY HILLS ELEMENTARY,133,121,91,3,0,9,0,SOUTH PASADENA
VISTA SAN GABRIEL ELEMENTARY,133,132,99,0,0,1,1,PALMDALE
FRANCIS HOPKINSON ELEMENTARY,133,124,93,4,0,5,0,LOS ALAMITOS
JOHN O. TYNES ELEMENTARY,133,127,95,5,0,1,0,PLACENTIA
JEFFERSON ELEMENTARY,133,130,98,0,0,3,3,SANTA ANA
RAMONA ELEMENTARY,133,128,96,5,0,0,0,HEMET
KINGSLEY ELEMENTARY,133,131,99,1,0,1,0,MONTCLAIR
ELDERBERRY ELEMENTARY,133,133,100,0,0,0,0,ONTARIO
CASTELAR STREET ELEMENTARY,132,76,58,55,1,0,0,LOS ANGELES
HANCOCK PARK ELEMENTARY,132,122,92,3,0,7,0,LOS ANGELES
HUMPHREYS AVENUE ELEMENTARY,132,88,67,44,0,0,0,LOS ANGELES
SARA COUGHLIN ELEMENTARY,132,126,95,6,0,0,0,PACOIMA
COHASSET STREET ELEMENTARY,132,130,98,2,0,0,0,VAN NUYS
SUMMERWIND ELEMENTARY,132,127,96,4,0,1,0,PALMDALE
CENTRAL ELEMENTARY,132,130,98,0,1,1,0,BANNING
DWIGHT D. EISENHOWER ELEMENTARY,132,125,95,1,2,4,4,CORONA
TUSCANY HILLS ELEMENTARY,132,125,95,1,0,6,0,LAKE ELSINORE
CALLIE KIRKPATRICK ELEMENTARY,132,117,89,1,0,14,1,MENIFEE
CRESTMORE ELEMENTARY,132,128,97,3,0,1,0,BLOOMINGTON
COTTONWOOD ELEMENTARY,132,130,98,1,0,1,0,HESPERIA
RAMONA ELEMENTARY,132,130,98,1,1,0,0,"MONTCLAIR,"
LANKERSHIM ELEMENTARY,132,130,98,2,0,0,0,HIGHLAND
RIO PLAZA ELEMENTARY,132,112,85,20,0,0,0,OXNARD
CENTER STREET ELEMENTARY,131,92,70,37,1,1,0,EL SEGUNDO
WASHINGTON,131,123,94,8,0,0,0,HAWTHORNE
WILLIAM R. ANTON ELEMENTARY,131,121,92,9,0,1,0,LOS ANGELES
PALM LANE ELEMENTARY,131,125,95,6,0,0,0,ANAHEIM
BADEN-POWELL ELEMENTARY,131,102,78,28,1,0,0,ANAHEIM
MARTIN LUTHER KING JR. ELEMENTARY,131,116,89,14,1,0,0,SANTA ANA
FOOTHILL ELEMENTARY,131,124,95,4,0,3,0,CORONA
CHAPARRAL ELEMENTARY,131,127,97,2,0,2,1,CHINO HILLS
THE ONTARIO CENTER,131,108,82,20,1,2,1,ONTARIO
DRIFFILL ELEMENTARY,131,130,99,1,0,0,0,OXNARD
ROBINSON ACADEMY,130,128,98,2,0,0,0,LONG BEACH
"DR. LAWRENCE H. MOORE MATH, SCIENCE, TECHNOLOGY ACADEMY",130,128,98,2,0,0,0,LOS ANGELES
TWENTY-FOURTH STREET ELEMENTARY,130,84,65,46,0,0,0,LOS ANGELES
HELIOTROPE AVENUE ELEMENTARY,130,128,98,2,0,0,0,MAYWOOD
BROAD AVENUE ELEMENTARY,130,77,59,53,0,0,0,WILMINGTON
TULITA ELEMENTARY,130,115,88,7,0,8,1,REDONDO BEACH
NEW TEMPLE,130,130,100,0,0,0,0,SOUTH EL MONTE
DON JUAN AVILA ELEMENTARY,130,102,78,13,1,14,12,ALISO VIEJO
OCIA A. PETERS ELEMENTARY,130,130,100,0,0,0,0,GARDEN GROVE
MELINDA HEIGHTS ELEMENTARY,130,124,95,1,1,4,0,RANCHO SANTA MARGARITA
PARKRIDGE ELEMENTARY,130,125,96,3,2,0,0,CORONA
GRANITE HILL ELEMENTARY,130,129,99,1,0,0,0,JURUPA VALLEY
SITTING BULL ACADEMY,130,117,90,13,0,0,0,APPLE VALLEY
WALNUT AVENUE ELEMENTARY,130,127,98,2,0,1,0,CHINO
TERRA VISTA ELEMENTARY,130,124,95,0,0,6,0,RANCHO CUCAMONGA
MESQUITE TRAILS ELEMENTARY,130,125,96,1,0,4,0,HESPERIA
BON VIEW ELEMENTARY,130,129,99,0,1,0,0,ONTARIO
ORCHARD DALE ELEMENTARY,129,125,97,2,2,0,0,WHITTIER
JEFFERSON,129,121,94,8,0,0,0,HAWTHORNE
JOSHUA ELEMENTARY,129,123,95,5,0,1,1,LANCASTER
MUIR K-8,129,114,88,15,0,0,0,LONG BEACH
LILLIAN STREET ELEMENTARY,129,125,97,4,0,0,0,LOS ANGELES
LELAND STREET ELEMENTARY,129,125,97,4,0,0,0,SAN PEDRO
MONTARA AVENUE ELEMENTARY,129,85,66,44,0,0,0,SOUTH GATE
ALCOTT ELEMENTARY,129,121,94,5,0,3,3,POMONA
JACK L. WEAVER ELEMENTARY,129,125,97,0,0,4,2,LOS ALAMITOS
LOS ALAMITOS ELEMENTARY,129,122,95,2,1,4,0,LOS ALAMITOS
JOHN F. KENNEDY ELEMENTARY,129,122,95,0,0,7,0,RIVERSIDE
PACHAPPA ELEMENTARY,129,128,99,0,0,1,1,RIVERSIDE
SOUTH TAMARIND ELEMENTARY,129,125,97,4,0,0,0,FONTANA
BERLYN ELEMENTARY,129,117,91,12,0,0,0,ONTARIO
JUNIPERO SERRA ELEMENTARY,129,122,95,3,0,4,0,VENTURA
SOUTH RANCHITO ELEMENTARY,128,126,98,0,0,2,0,PICO RIVERA
WILLARD ELEMENTARY,128,105,82,23,0,0,0,LONG BEACH
ONE HUNDRED THIRTY-FIFTH STREET ELEMENTARY,128,111,87,17,0,0,0,GARDENA
HILLCREST DRIVE ELEMENTARY,128,53,41,75,0,0,0,LOS ANGELES
ROOSEVELT ELEMENTARY,128,119,93,7,0,2,1,POMONA
WESTMONT ELEMENTARY,128,128,100,0,0,0,0,ANAHEIM
DANBROOK ELEMENTARY,128,113,88,14,1,0,0,ANAHEIM
SPRINGBROOK ELEMENTARY,128,127,99,0,1,0,0,IRVINE
ROBERT M. PYLES ELEMENTARY,128,116,91,12,0,0,0,STANTON
STAR VIEW ELEMENTARY,128,126,98,0,0,2,2,MIDWAY CITY
HIGHLAND ELEMENTARY,128,103,80,10,0,15,3,RIVERSIDE
CASEY ELEMENTARY,128,126,98,0,0,2,2,RIALTO
IRWINACADEMY OF PERFORMING ARTS AND FOREIGN LANGUAGE,128,120,94,4,0,4,3,VICTORVILLE
FLORENCE GRIFFITH JOYNER ELEMENTARY,127,127,100,0,0,0,0,LOS ANGELES
GRAPE STREET ELEMENTARY,127,40,32,87,0,0,0,LOS ANGELES
AGNES L. SMITH ELEMENTARY,127,105,83,14,1,7,7,HUNTINGTON BEACH
MABEL M. PAINE ELEMENTARY,127,108,85,10,0,9,0,YORBA LINDA
RED HILL ELEMENTARY,127,107,84,14,0,6,0,SANTA ANA
CIELO VISTA CHARTER,127,122,96,2,0,3,2,PALM SPRINGS
MARY MCLEOD BETHUNE ELEMENTARY,127,119,94,7,0,1,0,MORENO VALLEY
BING WONG ELEMENTARY,127,125,98,2,0,0,0,SAN BERNARDINO
WEBSTER ELEMENTARY,126,125,99,0,0,1,0,LONG BEACH
BIRDIELEE V. BRIGHT ELEMENTARY,126,48,38,78,0,0,0,LOS ANGELES
TWENTY-EIGHTH STREET ELEMENTARY,126,113,90,13,0,0,0,LOS ANGELES
WASHINGTON PRIMARY CENTER,126,126,100,0,0,0,0,LOS ANGELES
RIVERSIDE DRIVE CHARTER ELEMENTARY,126,109,87,6,1,10,0,SHERMAN OAKS
SAN GABRIEL AVENUE ELEMENTARY,126,109,87,17,0,0,0,SOUTH GATE
ALBERT SCHWEITZER ELEMENTARY,126,125,99,0,0,1,0,ANAHEIM
WALLACE R. DAVIS ELEMENTARY,126,124,98,2,0,0,0,SANTA ANA
PHILLIP M. STOKOE ELEMENTARY,126,117,93,9,0,0,0,RIVERSIDE
CAWSTON ELEMENTARY,126,124,98,1,0,1,0,HEMET
WITHROW ELEMENTARY,126,126,100,0,0,0,0,LAKE ELSINORE
TEMECULA LUISENO ELEMENTARY,126,119,94,3,0,4,0,TEMECULA
CECILIA LUCERO SOLORIO ELEMENTARY,126,125,99,1,0,0,0,FONTANA
EAST HERITAGE ELEMENTARY,126,123,98,1,0,2,0,FONTANA
MOUNTAIN VISTA,126,112,89,14,0,0,0,FILLMORE
NIEMES -JOHN H.- ELEMENTARY,125,122,98,2,0,1,1,ARTESIA
BARRANCA ELEMENTARY,125,117,94,6,1,1,1,COVINA
EL DORADO ELEMENTARY,125,122,98,2,0,1,1,LANCASTER
CUBBERLEY K-8,125,112,90,13,0,0,0,LONG BEACH
HARBOR CITY ELEMENTARY,125,101,81,24,0,0,0,HARBOR CITY
THIRD STREET ELEMENTARY,125,82,66,43,0,0,0,LOS ANGELES
YES ACADEMY,125,112,90,13,0,0,0,LOS ANGELES
DIXIE CANYON COMMUNITY CHARTER,125,117,94,8,0,0,0,SHERMAN OAKS
PICO CANYON ELEMENTARY,125,112,90,8,0,5,0,STEVENSON RANCH
FRANKLIN ELEMENTARY,125,103,82,6,0,16,0,SANTA MONICA
GREGG ANDERSON ACADEMY,125,115,92,0,0,10,9,PALMDALE
PETERS CANYON ELEMENTARY,125,93,74,27,1,4,0,TUSTIN
TOURNAMENT HILLS ELEMENTARY,125,119,95,4,0,2,0,BEAUMONT
MCSWEENY ELEMENTARY,125,120,96,5,0,0,0,HEMET
SKY COUNTRY ELEMENTARY,125,122,98,2,0,1,0,JURUPA VALLEY
RIDGEMOOR ELEMENTARY,125,123,98,0,0,2,0,SUN CITY
RIO VISTA ELEMENTARY,125,114,91,5,0,6,1,APPLE VALLEY
LIBERTY ELEMENTARY,125,123,98,2,0,0,0,ONTARIO
MARTHA BALDWIN ELEMENTARY,124,122,98,1,0,1,0,ALHAMBRA
KELLY ELEMENTARY,124,121,98,3,0,0,0,COMPTON
OAK STREET ELEMENTARY,124,117,94,7,0,0,0,INGLEWOOD
WILLIAM GREEN ELEMENTARY,124,120,97,4,0,0,0,LAWNDALE
LANAI ROAD ELEMENTARY,124,123,99,0,0,1,1,ENCINO
"DR. THEO. T. ALEXANDER JR., SCIENCE CENTER",124,47,38,77,0,0,0,LOS ANGELES
MARVIN ELEMENTARY,124,98,79,26,0,0,0,LOS ANGELES
RICHARD RIORDAN PRIMARY CENTER,124,120,97,4,0,0,0,LOS ANGELES
BELLINGHAM ELEMENTARY,124,120,97,3,0,1,1,NORTH HOLLYWOOD
BROADWAY ELEMENTARY,124,107,86,15,0,2,0,VENICE
MESQUITE ELEMENTARY,124,121,98,2,0,1,0,PALMDALE
MCKINLEY,124,116,94,7,0,1,0,PASADENA
STONEGATE ELEMENTARY,124,111,90,12,0,1,0,IRVINE
GLEN YERMO ELEMENTARY,124,89,72,31,1,3,0,MISSION VIEJO
ANTELOPE HILLS ELEMENTARY,124,117,94,0,1,6,0,MURRIETA
CENTRAL ELEMENTARY,124,120,97,2,0,2,0,RANCHO CUCAMONGA
CITRUS ELEMENTARY,124,122,98,1,0,1,1,FONTANA
SAMUEL W. SIMPSON ELEMENTARY,124,123,99,0,1,0,0,RIALTO
ESTHER LINDSTROM ELEMENTARY,123,115,94,8,0,0,0,LAKEWOOD
DICKISON ELEMENTARY,123,119,97,4,0,0,0,COMPTON
CARSON STREET ELEMENTARY,123,35,28,88,0,0,0,CARSON
RICARDO LIZARRAGA ELEMENTARY,123,116,94,7,0,0,0,LOS ANGELES
COLFAX CHARTER ELEMENTARY,123,108,88,9,0,6,0,NORTH HOLLYWOOD
CALAHAN COMMUNITY CHARTER,123,122,99,1,0,0,0,NORTHRIDGE
WHITTIER ELEMENTARY,123,107,87,16,0,0,0,COSTA MESA
LANDAU ELEMENTARY,123,120,98,3,0,0,0,CATHEDRAL CITY
SANDIA ELEMENTARY,123,85,69,37,0,1,0,APPLE VALLEY
CAL AERO PRESERVE ACADEMY,123,120,98,1,0,2,0,CHINO
ABRAHAM LINCOLN ELEMENTARY,123,116,94,4,1,2,0,COLTON
LIME STREET ELEMENTARY,123,121,98,1,0,1,0,HESPERIA
LUGONIA ELEMENTARY,123,115,94,4,0,4,2,REDLANDS
MAYO ELEMENTARY,122,121,99,1,0,0,0,COMPTON
LA FETRA ELEMENTARY,122,117,96,1,0,4,4,GLENDORA
BURCHAM K-5,122,110,90,12,0,0,0,LONG BEACH
SATICOY ELEMENTARY,122,118,97,0,2,2,0,NORTH HOLLYWOOD
PRIMARY ACADEMY FOR SUCCESS,122,116,95,6,0,0,0,PANORAMA CITY
STANLEY MOSK ELEMENTARY,122,118,97,4,0,0,0,WINNETKA
SUNNY BRAE AVENUE ELEMENTARY,122,121,99,1,0,0,0,WINNETKA
CIMARRON ELEMENTARY,122,119,98,1,0,2,0,PALMDALE
GOLDEN POPPY ELEMENTARY,122,122,100,0,0,0,0,PALMDALE
QUAIL VALLEY ELEMENTARY,122,121,99,1,0,0,0,PALMDALE
HURLEY ELEMENTARY,122,119,98,3,0,0,0,LA PUENTE
ROOSEVELT ELEMENTARY,122,91,75,12,0,19,1,SANTA MONICA
OLIVE STREET ELEMENTARY,122,116,95,6,0,0,0,ANAHEIM
DESERT KNOLLS ELEMENTARY,122,104,85,17,0,1,0,APPLE VALLEY
MISSION ELEMENTARY,122,120,98,2,0,0,0,ONTARIO
VICTOR F. HODGE ELEMENTARY,121,120,99,1,0,0,0,AZUSA
CARVER ELEMENTARY,121,72,60,47,0,2,1,LONG BEACH
CELERITY NASCENT CHARTER,121,113,93,7,0,1,0,LOS ANGELES
FIFTEENTH STREET ELEMENTARY,121,104,86,16,0,1,0,SAN PEDRO
ROSCOE ELEMENTARY,121,115,95,6,0,0,0,SUN VALLEY
TAFT ELEMENTARY,121,116,96,5,0,0,0,ORANGE
GEORGE WASHINGTON ELEMENTARY,121,120,99,0,1,0,0,NORCO
MARY B. LEWIS ELEMENTARY,121,116,96,5,0,0,0,BLOOMINGTON
TED PORTER ELEMENTARY,121,119,98,2,0,0,0,FONTANA
BRYN MAWR ELEMENTARY,121,105,87,6,1,9,3,LOMA LINDA
LAUREL STREET ELEMENTARY,120,113,94,7,0,0,0,COMPTON
LEWIS ELEMENTARY,120,109,91,9,0,2,2,DOWNEY
PRICE ELEMENTARY,120,116,97,4,0,0,0,DOWNEY
THOMAS EDISON ELEMENTARY,120,99,83,15,0,6,2,GLENDALE
DESERT VIEW ELEMENTARY,120,115,96,5,0,0,0,LANCASTER
BIRNEY ELEMENTARY,120,117,98,3,0,0,0,LONG BEACH
HENRY K-8,120,111,93,3,0,6,0,LONG BEACH
INTERNATIONAL ELEMENTARY,120,87,73,33,0,0,0,LONG BEACH
BEACHY AVENUE ELEMENTARY,120,117,98,3,0,0,0,ARLETA
CHASE STREET ELEMENTARY,120,113,94,7,0,0,0,PANORAMA CITY
INDEPENDENCE ELEMENTARY,120,89,74,31,0,0,0,SOUTH GATE
THURGOOD MARSHALL ELEMENTARY,120,108,90,11,1,0,0,LYNWOOD
CULVERDALE ELEMENTARY,120,95,79,22,0,3,0,IRVINE
RUSTIC LANE ELEMENTARY,120,118,98,1,0,1,0,JURUPA VALLEY
CREEKSIDE ELEMENTARY,120,93,78,27,0,0,0,MORENO VALLEY
EMERSON ELEMENTARY,120,110,92,8,0,2,0,RIVERSIDE
CYPRESS ELEMENTARY,120,117,98,2,0,1,1,FONTANA
MAPLE ELEMENTARY,120,117,98,3,0,0,0,FONTANA
WILDWOOD ELEMENTARY,120,113,94,2,0,5,1,YUCAIPA
CRAIG WILLIAMS ELEMENTARY,119,110,92,9,0,0,0,LAKEWOOD
CATSKILL AVENUE ELEMENTARY,119,82,69,36,0,1,0,CARSON
EUCLID AVENUE ELEMENTARY,119,107,90,12,0,0,0,LOS ANGELES
MACARTHUR PARK ELEMENTARY SCHOOL FOR THE VISUAL AND PERFORMING ARTS,119,67,56,52,0,0,0,LOS ANGELES
JULIE KORENSTEIN ELEMENTARY,119,117,98,2,0,0,0,NORTH HOLLYWOOD
PANORAMA CITY ELEMENTARY,119,119,100,0,0,0,0,PANORAMA CITY
BARTON HILL ELEMENTARY,119,89,75,30,0,0,0,SAN PEDRO
SYLMAR LEADERSHIP ACADEMY,119,118,99,0,0,1,0,SYLMAR
YUCCA ELEMENTARY,119,115,97,3,0,1,0,PALMDALE
WASHINGTON ACCELERATED ELEMENTARY,119,108,91,10,0,1,1,PASADENA
WILDOMAR ELEMENTARY,119,113,95,2,0,4,0,WILDOMAR
MURRIETA ELEMENTARY,119,112,94,2,0,5,0,MURRIETA
PALMS ELEMENTARY,119,109,92,8,1,1,1,PERRIS
LAKE MATHEWS ELEMENTARY,119,113,95,3,0,3,0,RIVERSIDE
MOUNTAIN VIEW ELEMENTARY,119,115,97,2,0,2,1,RIVERSIDE
LASSELLE ELEMENTARY,119,119,100,0,0,0,0,MORENO VALLEY
AVALON ELEMENTARY,119,117,98,2,0,0,0,PERRIS
RANCHO VERDE ELEMENTARY,119,103,87,11,0,5,3,APPLE VALLEY
ALICE BIRNEY ELEMENTARY,119,118,99,1,0,0,0,COLTON
MAPLE ELEMENTARY,119,112,94,1,1,5,1,HESPERIA
FRANKLIN ELEMENTARY,119,114,96,0,0,5,3,REDLANDS
ROGER ANTON ELEMENTARY,119,118,99,1,0,0,0,SAN BERNARDINO
NORTON SPACE AND AERONAUTICS ACADEMY,119,110,92,8,0,1,0,SAN BERNARDINO
SUNKIST ELEMENTARY,119,116,97,3,0,0,0,PORT HUENEME
TRACY ELEMENTARY,118,112,95,6,0,0,0,BALDWIN PARK
COLUMBIA ELEMENTARY,118,116,98,2,0,0,0,LANCASTER
JOHN MUIR ELEMENTARY,118,76,64,41,0,1,0,GLENDALE
KIPP COMIENZA COMMUNITY PREP,118,117,99,1,0,0,0,HUNTINGTON PARK
LAFAYETTE PARK PRIMARY CENTER,118,110,93,7,0,1,0,LOS ANGELES
ONE HUNDRED EIGHTEENTH STREET,118,96,81,22,0,0,0,LOS ANGELES
ROWAN AVENUE ELEMENTARY,118,118,100,0,0,0,0,LOS ANGELES
SAN FERNANDO ELEMENTARY,118,109,92,9,0,0,0,SAN FERNANDO
COLUMBUS AVENUE,118,110,93,8,0,0,0,VAN NUYS
SERRANIA AVENUE CHARTER FOR ENRICHED STUDIES,118,112,95,0,0,6,0,WOODLAND HILLS
BARREL SPRINGS ELEMENTARY,118,114,97,3,0,1,0,PALMDALE
BARTON -CLARA- ELEMENTARY,118,118,100,0,0,0,0,ANAHEIM
MARIAN BERGESON ELEMENTARY,118,80,68,28,2,8,8,LAGUNA NIGUEL
PIO PICO ELEMENTARY,118,114,97,4,0,0,0,SANTA ANA
BENJAMIN FRANKLIN ELEMENTARY,118,109,92,2,0,7,1,CORONA
GERALD A. SMITH ELEMENTARY,118,113,96,5,0,0,0,BLOOMINGTON
CURREN ELEMENTARY,118,117,99,1,0,0,0,OXNARD
KAMALA ELEMENTARY,118,118,100,0,0,0,0,OXNARD
CITRUS GLEN ELEMENTARY,118,101,86,16,0,1,0,VENTURA
J. MARION ROYNON ELEMENTARY,117,112,96,1,0,4,0,LA VERNE
CEDARGROVE ELEMENTARY,117,114,97,1,0,2,0,COVINA
ROSECRANS ELEMENTARY,117,113,97,4,0,0,0,COMPTON
WINNETKA AVENUE ELEMENTARY,117,114,97,3,0,0,0,CANOGA PARK
CARSON-GORE ACADEMY OF ENVIORNMENTAL STUDIES,117,70,60,47,0,0,0,LOS ANGELES
NEVIN AVENUE ELEMENTARY,117,111,95,6,0,0,0,LOS ANGELES
GUINN -JAMES M.- ELEMENTARY,117,115,98,2,0,0,0,ANAHEIM
BATHGATE ELEMENTARY,117,97,83,9,0,11,0,MISSION VIEJO
MARGARET LANDELL ELEMENTARY,117,117,100,0,0,0,0,CYPRESS
ROSSMOOR ELEMENTARY,117,114,97,0,0,3,0,LOS ALAMITOS
TOPAZ ELEMENTARY,117,115,98,2,0,0,0,FULLERTON
TRAVIS RANCH,117,108,92,7,0,2,0,YORBA LINDA
VALLE VISTA ELEMENTARY,117,108,92,6,1,2,0,HEMET
BUTTERFIELD ELEMENTARY,117,114,97,2,0,1,0,MORENO VALLEY
NUVIEW ELEMENTARY,117,114,97,1,0,2,0,NUEVO
CATHEDRAL CITY ELEMENTARY,117,112,96,4,0,1,0,CATHEDRAL CITY
HAWTHORNE ELEMENTARY,117,107,91,10,0,0,0,RIVERSIDE
WASHINGTON ELEMENTARY,117,111,95,1,0,5,0,RIVERSIDE
ALAMOS ELEMENTARY,117,113,97,2,0,2,0,MURRIETA
NICOLAS VALLEY ELEMENTARY,117,107,91,4,0,6,1,TEMECULA
VICTORIANO ELEMENTARY,117,109,93,7,0,1,0,MORENO VALLEY
PHOENIX ACADEMY,117,70,60,44,0,3,0,APPLE VALLEY
COOLEY RANCH ELEMENTARY,117,109,93,8,0,0,0,COLTON
MANGO ELEMENTARY,117,113,97,1,1,2,2,FONTANA
ARROYO VERDE ELEMENTARY,117,112,96,1,0,4,1,HIGHLAND
MYERS ELEMENTARY,117,116,99,0,0,1,0,RIALTO
HILLSIDE ELEMENTARY,117,112,96,2,0,3,0,SAN BERNARDINO
RIDGEVIEW ELEMENTARY,117,108,92,3,1,5,1,YUCAIPA
RICHARD BARD ELEMENTARY,117,116,99,0,0,1,0,PORT HUENEME
ROBERT F. KENNEDY ELEMENTARY,116,104,90,12,0,0,0,COMPTON
BUFORD ELEMENTARY,116,115,99,1,0,0,0,LENNOX
FIRST STREET ELEMENTARY,116,115,99,0,0,1,0,LOS ANGELES
HARMONY ELEMENTARY,116,79,68,37,0,0,0,LOS ANGELES
ALTA CALIFORNIA ELEMENTARY,116,111,96,5,0,0,0,PANORAMA CITY
STATE STREET ELEMENTARY,116,114,98,1,0,1,1,SOUTH GATE
WILCOX ELEMENTARY,116,115,99,1,0,0,0,MONTEBELLO
JOHN DOLLAND ELEMENTARY,116,114,98,1,0,1,1,NORWALK
MANZANITA ELEMENTARY,116,113,97,3,0,0,0,PALMDALE
PHILADELPHIA ELEMENTARY,116,102,88,14,0,0,0,POMONA
WILL ROGERS ELEMENTARY,116,96,83,2,0,18,0,SANTA MONICA
ARROYO VISTA ELEMENTARY,116,106,91,3,0,7,0,SOUTH PASADENA
PLAZA VISTA,116,101,87,10,0,5,0,IRVINE
TWILA REID ELEMENTARY,116,92,79,24,0,0,0,ANAHEIM
MEAIRS ELEMENTARY,116,116,100,0,0,0,0,GARDEN GROVE
LINCOLN ALTERNATIVE ELEMENTARY,116,104,90,12,0,0,0,CORONA
CAMINO REAL ELEMENTARY,116,109,94,0,0,7,0,JURUPA VALLEY
WEST RIVERSIDE ELEMENTARY,116,114,98,2,0,0,0,JURUPA VALLEY
DONALD GRAHAM ELEMENTARY,116,106,91,2,1,7,0,WILDOMAR
CHAPARRAL HILLS ELEMENTARY,116,107,92,9,0,0,0,MORENO VALLEY
SUNNYMEADOWS ELEMENTARY,116,114,98,2,0,0,0,MORENO VALLEY
KATHERINE FINCHY ELEMENTARY,116,105,91,8,0,3,0,PALM SPRINGS
DELLA S. LINDLEY ELEMENTARY,116,115,99,1,0,0,0,THOUSAND PALMS
LIBERTY ELEMENTARY,116,109,94,7,0,0,0,RIVERSIDE
MESA VIEW ELEMENTARY,116,109,94,2,0,5,0,ROMOLAND
SYCAMORE HILLS ELEMENTARY,116,114,98,1,0,1,0,FONTANA
GRAPELAND ELEMENTARY,116,114,98,0,0,2,0,ETIWANDA
TOWNSHIP ELEMENTARY,116,105,91,9,0,2,1,SIMI VALLEY
BONITA STREET ELEMENTARY,115,52,45,63,0,0,0,CARSON
LOVELIA P. FLOURNOY ELEMENTARY,115,20,17,95,0,0,0,LOS ANGELES
VERMONT AVENUE ELEMENTARY,115,107,93,8,0,0,0,LOS ANGELES
TAPER AVENUE ELEMENTARY,115,105,91,3,2,5,0,SAN PEDRO
WILLOW ELEMENTARY,115,114,99,1,0,0,0,SOUTH GATE
NESTLE AVENUE CHARTER,115,108,94,5,0,2,0,TARZANA
GRAND VIEW ELEMENTARY,115,103,90,8,0,4,1,MANHATTAN BEACH
MONROE ELEMENTARY,115,103,90,5,2,5,5,MONROVIA
GARFIELD ELEMENTARY,115,115,100,0,0,0,0,BELL GARDENS
CHAPARRAL ELEMENTARY,115,95,83,14,0,6,0,LADERA RANCH
DEERFIELD ELEMENTARY,115,96,83,17,0,2,0,IRVINE
EL SOL SANTA ANA SCIENCE AND ARTS ACADEMY,115,98,85,17,0,0,0,SANTA ANA
SCHROEDER ELEMENTARY,115,110,96,5,0,0,0,HUNTINGTON BEACH
AGUA CALIENTE ELEMENTARY,115,114,99,1,0,0,0,CATHEDRAL CITY
FREMONT ELEMENTARY,115,113,98,0,0,2,1,RIVERSIDE
SUSAN LA VORGNA ELEMENTARY,115,101,88,11,0,3,0,WINCHESTER
TERRACE VIEW ELEMENTARY,115,106,92,5,0,4,3,GRAND TERRACE
BALDY MESA ELEMENTARY,115,93,81,15,0,7,2,PHELAN
IMPERIAL ELEMENTARY,114,105,92,9,0,0,0,DOWNEY
ENTERPRISE ELEMENTARY,114,109,96,0,1,4,0,LANCASTER
KIT CARSON ELEMENTARY,114,107,94,7,0,0,0,HAWTHORNE
ALDAMA ELEMENTARY,114,74,65,40,0,0,0,LOS ANGELES
CASTLE HEIGHTS ELEMENTARY,114,81,71,29,0,4,0,LOS ANGELES
KIPP ILUMINAR ACADEMY,114,110,96,2,0,2,0,LOS ANGELES
LARCHMONT CHARTER,114,101,89,0,0,13,13,LOS ANGELES
MAPLE PRIMARY CENTER,114,112,98,2,0,0,0,LOS ANGELES
WILTON PLACE ELEMENTARY,114,67,59,47,0,0,0,LOS ANGELES
TELFAIR AVENUE ELEMENTARY,114,105,92,9,0,0,0,PACOIMA
RANCHITO AVENUE ELEMENTARY,114,105,92,7,2,0,0,PANORAMA CITY
O'MELVENY ELEMENTARY,114,106,93,8,0,0,0,SAN FERNANDO
POMELO COMMUNITY CHARTER,114,86,75,22,0,6,2,WEST HILLS
MARK TWAIN ELEMENTARY,114,112,98,2,0,0,0,LYNWOOD
DOS CAMINOS,114,107,94,4,0,3,0,PALMDALE
