"Carrier Name","Carrier Location","Carrier Status","Allowed to Operate","Watchlist Reason","Fleet Size","BASIC Status","SAFER Details"
"Amadeus Tour & Travel","Norwalk, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=lswx65k6Rfc=&DOCKET=Tx04U1kCQJI=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=454283"
"Amador Stage Lines, Inc.","Sacramento, CA","See BASIC Status Link","Yes",,5,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=rXbUaosWLXk=&DOCKET=5O2OOMWvtiM=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=118303"
"America Asia Express, Inc.","Monterey Park, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=2bEUxo2/6Ec=&DOCKET=O0e+FZrK4F0=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=419493"
"American Alliance Tourbus Company","San Gabriel, CA","See BASIC Status Link","Yes",,5,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=y/nd0NNXI3s=&DOCKET=X4VZ4RZGIHQ=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2306017"
"American Holiday Tour Llc","Los Angeles, CA","See BASIC Status Link","Yes",,9,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=H8cziCcCkq4=&DOCKET=nHZX4W2odO4=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2042428"
"American Land Transportation","West Covina, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=AfnfnuxSMxM=&DOCKET=71B8hivrRQo=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=864582"
"American Stage Tours","Concord, CA","See BASIC Status Link","Yes",,7,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=3tOUvV7jxGs=&DOCKET=Ja1cBdqom2k=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=253482"
"American Transportation Sightseeing Inc","Long Beach, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=p57IUUtLQkI=&DOCKET=bwAg1C7H/po=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1557416"
"American Vacation, Inc.","Alhambra, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=/SiRQvpwMYg=&DOCKET=UeZXO9ivg60=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=907859"
"Americanstar Tours","Grover Beach, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=jaZCnU5huZk=&DOCKET=fLtPAdh47l0=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=499067"
"Amexpo Inc","City Of Industry, CA","See BASIC Status Link","Yes",,6,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=0Tb7yS1Kavs=&DOCKET=lu4a5FBFqsg=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1499763"
"Amy Transportation Llc","Fountain Valley, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=p5gGqs68yfg=&DOCKET=eeyeVr+Bcb4=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1795799"
"Antelope Valley Airport Express, Inc.","Palmdale, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=4c23Qq3AOL8=&DOCKET=nEDM/uEfwpg=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=709384"
"Atlas Tours","Cupertino, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=Q21l3GAVEO0=&DOCKET=ErduxGXEhdc=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1931216"
"Awesome Charters And Tours, Llc","Fresno, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=cJ5N+U/O660=&DOCKET=/cXyDwCOQK8=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1991500"
"B & T Tours","Los Angeles, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=HPu9BgE8FvI=&DOCKET=c4/IgI7WuFE=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=783621"
"Bay Area 2001 Band Production Inc","Burlingame, CA","See BASIC Status Link","Yes",,4,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=hkjyA3EL4kE=&DOCKET=ku0OouBj95w=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2210875"
