"Carrier Name","Carrier Location","Carrier Status","Allowed to Operate","Watchlist Reason","Fleet Size","BASIC Status","SAFER Details"
"Double Hi Express Tours, Inc.","San Gabriel, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=ejVhYTJaUl4=&DOCKET=81liJcm+1m8=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=824330"
"Eagle Bus Ministries Llc","Redding, CA","See BASIC Status Link","Yes",,4,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=qrn8diY7R9o=&DOCKET=5oD8pIgNaH8=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2150931"
"Eagle Transportation","Covina, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=/6scKVLq3p8=&DOCKET=KqmNwUellj4=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1623988"
"Ebmeyer Charter Service","Apple Valley, CA","See BASIC Status Link","Yes",,8,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=RLEvWjn4pBY=&DOCKET=bGrO3Zt9NwU=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=203293"
"Echarter","Fremont, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=7Uu4ZbDzA8k=&DOCKET=gl9XHSSp2Pk=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2305762"
"El Corre Caminos, Inc","Fontana, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=U/RUUFnN6Vk=&DOCKET=GEpoNNtB5YU=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=425363"
"Evans Transportation","Yreka, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=WRV6AP7K49o=&DOCKET=ZQwhEimzsL8=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2376797"
"Express America Bus Lines Inc","Los Angeles, CA","See BASIC Status Link","Yes",,6,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=Jn1htH506cA=&DOCKET=s0fx6SVDq2o=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1650830"
"Fairview Valley Organized Fire Co","Apple Valley, CA","See BASIC Status Link","Yes",,9,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=7zXd8ZiR9zs=&DOCKET=PoFa+eizZdM=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1925990"
"Fast Deer Bus Charter, Inc.","Montebello, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=jVcyo6pkgv0=&DOCKET=Q2pScEzksfI=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=403387"
"First Choice Charters","Montebello, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=ET24tXrK6pw=&DOCKET=0jD1osxj81w=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1200804"
"First Class Charter","San Mateo, CA","See BASIC Status Link","Yes",,5,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=gjaLj/vEtjo=&DOCKET=beatZhTzrLU=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2183995"
"Five Star Bus Charter Inc","Bell, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=KymrcnY4ljI=&DOCKET=0QLiq7xbY1A=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1908782"
"Flores Bus Lines Inc","Norwalk, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=LYdo4sttQUU=&DOCKET=pN4Bh0n6G74=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1776152"
"Foremost Tours","Anaheim, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=a0ClP2LnTQg=&DOCKET=jWVLaD5KE5Y=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=525547"
"Four Season Travel Llc","El Monte, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=Z6ifLFKsm7c=&DOCKET=ipO3fMR5r7Y=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2250538"
"Gaitan Express","Los Angeles, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=s3VdzBGdUwY=&DOCKET=nvP9e+zfexQ=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=543829"
"Gary Express, Inc","Sacramento, CA","See BASIC Status Link","Yes",,8,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=1T+LypSGUrY=&DOCKET=zt7kE5GNlKQ=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1165923"
"Gll Coach Inc","Rosemead, CA","See BASIC Status Link","Yes",,4,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=BJzDHC3eFoE=&DOCKET=scKshK2mR0M=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1571553"
"Go West Adventures Inc.","Inglewood, CA","See BASIC Status Link","Yes",,9,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=htJTnrapUSE=&DOCKET=C68gVqRINGs=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=652077"
"Gold Star Charter & Tours","Morgan Hill, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=n+sMWHzF8C8=&DOCKET=QpzkcWwzW/w=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1782187"
"Golden Eagle Charter, Inc.","Fresno, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=Mm68FtI5MR8=&DOCKET=Ic0S3k6k6WU=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1262140"
"Golden Leopard Coach Llc","Arcadia, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=7hFVDgCdOPc=&DOCKET=FQOa+IB3k0E=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2264248"
"Golden Star Coach","San Pedro, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=9qIt0NmdVW8=&DOCKET=pyjkM0UIY1s=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1964104"
"Golden West Travel, Inc.","Hayward, CA","See BASIC Status Link","Yes",,5,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=J9FAQX79n8U=&DOCKET=Rvol76rXJUk=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=452296"
"Goldengate Bus Inc","South Elmonte, CA","See BASIC Status Link","Yes",,4,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=ODKmVPSUTIQ=&DOCKET=GJIyrC0Ldqs=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2360798"
"Goldfield Stage & Company","El Cajon, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=oetkwj+eT/s=&DOCKET=VxnPKwe1IkY=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=291979"
"Gonzalez Travel & Tours","Los Angeles, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=KMM15rqgnOA=&DOCKET=9AEozizPHJA=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1568479"
"Got-U-There Tours, Llc","Fresno, CA","See BASIC Status Link","Yes",,6,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=9Z36KnOXNEg=&DOCKET=/mlbVYtLKC8=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1698192"
"Great American Stage","Sacramento, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=V4anABz4c/Q=&DOCKET=HPX9SJ7juoM=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=337738"
"Great Wall Travel","San Gabriel, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=wddh7/CY32Y=&DOCKET=cX3pHDt6qBM=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=807363"
"Green Tortoise, Inc.","Oakland, CA","See BASIC Status Link","Yes",,8,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=k3W1hNYDSC4=&DOCKET=fduHjVpb7No=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=192706"
"H & L Charter Co., Inc.","Rancho Cucamonga, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=suDyTAzFdkk=&DOCKET=ZzO3mKw0Cqw=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=282191"
"Harvest Vacation Ltd","San Francisco, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=KOEbnwsi9gA=&DOCKET=GyPXvG4/G9Y=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1505204"
"Heritage Valley Bus, Inc.","Santa Paula, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=Dyz1h7qeBfM=&DOCKET=pOdPPNwlIM0=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1619177"
"Highline Transportation","La  Mesa, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=XG/webG/4co=&DOCKET=8H0O0Am/Woo=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2337098"
"Hola Tours","Hemet, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=qK34WclMMuE=&DOCKET=0V1Yl0bqMtM=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1747918"
"Hot Dogger Tours, Inc.","Brea, CA","See BASIC Status Link","Yes",,4,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=OlvhuoNz6ps=&DOCKET=YyregIw+w5A=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=230226"
"Hy International Inc","San Gabriel, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=ofnEy0SRqhI=&DOCKET=ny3VUIDxvrA=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2373534"
"Inland Empire Stages Limited","Rancho Cucamonga, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=lI8HxkepcTg=&DOCKET=upYGYyjxTFA=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=260463"
"Interstate America Tours","Chula Vista, CA","See BASIC Status Link","Yes",,4,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=9e0IfsqDNSc=&DOCKET=2OPjXeNFsC4=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=684416"
"J & L Charter Bus Lines","Montclair, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=x5SJjD9fDlw=&DOCKET=iOkjbzKn3y8=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1779093"
"J.T. Tours","Brentwood, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=wS3wbkuoU0w=&DOCKET=THZthyY4RK0=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=952754"
"Jc Tours","San Bernardino, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=JzvNw3lLV1o=&DOCKET=N9ks+1sqrMg=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=985632"
"Johnny'S Express, Inc.","Downey, CA","See BASIC Status Link","Yes",,4,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=Je/jOyq4Jjw=&DOCKET=z9GG6MVww6o=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=519852"
"Js Coach Inc","Arcadia, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=CYoCjsZY0ig=&DOCKET=XA61wteXgHE=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2393482"
"Jumbo Tours","Temple City, CA","See BASIC Status Link","Yes",,8,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=gZAPr9jcKys=&DOCKET=HtLiWpWoiLg=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1849668"
"King Limousine Service Inc","Anaheim, CA","See BASIC Status Link","Yes",,8,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=7MmyZlP+5Uc=&DOCKET=1QG3P7ubBfA=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1672160"
"King'S Tour","San Francisco, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=GSgfhv3ysJ8=&DOCKET=pPyLxqb67nc=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1205169"
"La Class Transportation Llc","San Diego, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=G8iO/WelWZQ=&DOCKET=VU5Vz0C5BrE=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2309943"
"Lafleur Transportation","Gardena, CA","See BASIC Status Link","Yes",,7,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=dYVB9Z7qEtE=&DOCKET=uMU/RPtXWg4=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1938436"
"Lin Lines Inc.","Palm Springs, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=81Y77oUG+oE=&DOCKET=SROPundtJJo=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=260856"
"Lineas Ejecutivas","El Monte, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=vXDfSHxjJPA=&DOCKET=+hNQawmqwQQ=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1215546"
"Lion Express","West Covina, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=MAUcYQBnqIE=&DOCKET=HVsC1qhACJ4=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1324095"
"Lucky Tours And Charters Inc.","South Gate, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=8bkjcvgnWB0=&DOCKET=zoBFWSpSf0o=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=983189"
"Lux Bus America Co","Anaheim, CA","See BASIC Status Link","Yes",,6,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=2On7WqxvloU=&DOCKET=x3HTPNjb1ww=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1125439"
"M & R Express","Santa Paula, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=UJ2cDEQUT4U=&DOCKET=cWgv4CJF19M=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1077074"
"M&A Express","Commerce, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=xP+z/GyJbBY=&DOCKET=D5S4c6pm77Y=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=879747"
"Machu Picchu Tours","Moreno Valley, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=9R3La2bOLbE=&DOCKET=jQCIB4r1HpQ=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=655925"
"Mammoth Mountain Ski Area","Mammoth Lakes, CA","See BASIC Status Link","Yes",,4,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=w5UVLdW8bCA=&DOCKET=irzefA0O/PU=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=105560"
"Manuel Oviedo Tirado","San Ysidro, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=KGNGs9/cz3U=&DOCKET=yWYAAvTskNQ=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2377950"
"Marin Airporter","San Rafael, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=d++Nadozku0=&DOCKET=icIPRB6PRU8=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=68748"
"Martin & Sons Tours","La Puente, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=Sjj6OJnIDow=&DOCKET=VsiZT3UCPHg=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1022996"
"Mccloud And Picchi Enterprises, Inc.","Cotati, CA","See BASIC Status Link","Yes",,9,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=7HvYSLw7s9s=&DOCKET=90wItJb5/Fg=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=649638"
"Medina Tours & Charters Inc","San Jose, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=SjvePR+xe1s=&DOCKET=NuvGY0otR1w=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2015830"
"Megabus.Com","Sacramento, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=7ijXHzwqoBQ=&DOCKET=5CQbI31/3oM=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=352751"
"Mercury Tours","South San Francisco, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=d6qeeW3kwI8=&DOCKET=9wGstLOOqNk=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=239897"
"Mex-American Entertainment Group Inc","Indio, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=H905opmWapE=&DOCKET=FpBmxJeBW4Y=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1695828"
"Mgq, Usa, Inc","Alameda, CA","See BASIC Status Link","Yes",,4,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=8QGGSJo4KFk=&DOCKET=40CSTcfP2F0=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1199386"
"Mikes Tours Inc","Huntington Park, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=vYtOwHChlkg=&DOCKET=gUQlY2cXYPQ=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1542652"
"Ming International Travel Services Inc","San Gabriel, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=yk5mO7hNPQE=&DOCKET=ejOZUcqhsOg=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1646534"
"Morning Bridge International, Inc.","South Pasadena, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=onDrdG8LqRU=&DOCKET=1FV2Q6k+XzE=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1015832"
"Msf Tours","South San Francisco, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=i+JOjpus56s=&DOCKET=EjISZkV7awo=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=950826"
"Mt. Lassen Motor Transit, Inc.","Red Bluff, CA","See BASIC Status Link","Yes",,5,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=iFF2o22qsw4=&DOCKET=/6Rokq1jcK0=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=105566"
"Mutual Trans, Inc.","Los Angeles, CA","See BASIC Status Link","Yes",,7,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=CXVg4vA6jFk=&DOCKET=H1siGnOA0TU=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1568156"
"Mv Public Transportation Inc","Fairfield , CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=GwGfwQyDVFw=&DOCKET=3YvoEhjjMSA=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1205759"
"Nada Bus, Inc.","Commerce, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=G+dNCvGW/w0=&DOCKET=mBI+9L8hYJc=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=401399"
"National Charter Inc.","Gardena, CA","See BASIC Status Link","Yes",,7,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=LuFQCBRpHIM=&DOCKET=NjEe8uYkbdc=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=459073"
"Neotec Express Line","West Covina, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=IPiLDQEj5gE=&DOCKET=vHnSAkaRlZw=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2319145"
