time,esc,board district,plocn,school name,school type,grades offered,graduating class,total students,meeting college requirements,missing one required course,missing two required courses,missing three or more required courses
April SY 14-15,XS,2,8807,Ramona Opportunity High School ,T,7-12,2018,12,8%,33%,25%,33%
April SY 14-15,S,7,8868,Rancho Dominguez Preparatory School ,EJ,6-12,2017,203,67%,16%,4%,13%
April SY 14-15,S,7,8868,Rancho Dominguez Preparatory School ,EJ,6-12,2018,193,56%,36%,7%,1%
April SY 14-15,N,6,8814,Reseda Senior High ,S,9-12,2017,416,51%,12%,6%,31%
April SY 14-15,N,6,8814,Reseda Senior High ,S,9-12,2018,422,60%,18%,10%,12%
April SY 14-15,XP,2,7771,Rfk Comm Schls - Ambassador School - Global Leadership ,EJ,6-12,2017,108,64%,15%,10%,11%
April SY 14-15,XP,2,7771,Rfk Comm Schls - Ambassador School - Global Leadership ,EJ,6-12,2018,120,68%,16%,5%,12%
April SY 14-15,XP,2,8501,Rfk Comm Schls - Los Angeles High School Of The Arts ,S,9-12,2017,110,60%,15%,9%,16%
April SY 14-15,XP,2,8501,Rfk Comm Schls - Los Angeles High School Of The Arts ,S,9-12,2018,113,34%,40%,16%,11%
April SY 14-15,XP,2,7783,Rfk Comm Schls - New Open World Academy K-12 ,EJ,K-12,2017,98,68%,12%,11%,8%
April SY 14-15,XP,2,7783,Rfk Comm Schls - New Open World Academy K-12 ,EJ,K-12,2018,82,60%,23%,16%,1%
April SY 14-15,XP,2,8206,Rfk Comm Schls - School For Visual Arts And Humanities ,S,9-12,2017,114,61%,18%,11%,11%
April SY 14-15,XP,2,8206,Rfk Comm Schls - School For Visual Arts And Humanities ,S,9-12,2018,126,36%,33%,19%,13%
April SY 14-15,XP,2,7780,Rfk Comm Schls - Ucla Community School K-12 ,EJ,K-12,2017,107,70%,14%,6%,10%
April SY 14-15,XP,2,7780,Rfk Comm Schls - Ucla Community School K-12 ,EJ,K-12,2018,106,40%,31%,15%,14%
April SY 14-15,W,4,8670,Richard A Alonzo Community Day School ,T,7-12,2017,33,9%,30%,6%,55%
April SY 14-15,W,4,8670,Richard A Alonzo Community Day School ,T,7-12,2018,5,0%,20%,0%,80%
April SY 14-15,XS,7,1917,Riley High School - Cyesis ,O,7-12,2017,29,14%,10%,17%,59%
April SY 14-15,XS,7,1917,Riley High School - Cyesis ,O,7-12,2018,16,6%,13%,44%,38%
April SY 14-15,XP,6,8142,Robert Fulton College Preparatory School ,EJ,6-12,2017,208,71%,16%,5%,8%
April SY 14-15,XP,6,8142,Robert Fulton College Preparatory School ,EJ,6-12,2018,234,29%,55%,11%,6%
April SY 14-15,S,7,8723,Rodia Continuation High ,C,9-12,2017,15,7%,7%,20%,67%
April SY 14-15,S,7,8723,Rodia Continuation High ,C,9-12,2018,1,0%,0%,0%,100%
April SY 14-15,N,6,8895,Rogers Continuation High ,C,9-12,2017,13,8%,0%,23%,69%
April SY 14-15,N,6,8895,Rogers Continuation High ,C,9-12,2018,1,0%,0%,0%,100%
April SY 14-15,E,2,7750,Roosevelt Senior High Environmental & Social Policy ,S,9-12,2017,29,59%,7%,14%,21%
April SY 14-15,E,2,7750,Roosevelt Senior High Environmental & Social Policy ,S,9-12,2018,29,69%,17%,3%,10%
April SY 14-15,XP,2,7751,Roosevelt Senior High Math/Science Magnet ,SS,9-12,2017,114,39%,23%,18%,20%
April SY 14-15,XP,2,7751,Roosevelt Senior High Math/Science Magnet ,SS,9-12,2018,119,66%,34%,1%,0%
April SY 14-15,S,5,8702,San Antonio Continuation High ,C,9-12,2017,14,14%,7%,0%,79%
April SY 14-15,S,5,8702,San Antonio Continuation High ,C,9-12,2018,3,0%,0%,33%,67%
April SY 14-15,XP,6,8843,San Fernando Senior High ,S,9-12,2017,581,50%,14%,13%,23%
April SY 14-15,XP,6,8843,San Fernando Senior High ,S,9-12,2018,603,79%,13%,7%,1%
April SY 14-15,S,7,8850,San Pedro Senior High ,S,9-12,2017,681,66%,13%,9%,13%
April SY 14-15,S,7,8850,San Pedro Senior High ,S,9-12,2018,681,43%,31%,19%,7%
April SY 14-15,XP,2,8716,Santee Education Complex ,S,9-12,2017,468,55%,17%,10%,18%
April SY 14-15,XP,2,8716,Santee Education Complex ,S,9-12,2018,438,57%,24%,13%,6%
April SY 14-15,E,2,8497,Secondary Community Day School ,T,6-12,2017,16,6%,13%,6%,75%
April SY 14-15,E,2,8497,Secondary Community Day School ,T,6-12,2018,21,10%,48%,10%,33%
April SY 14-15,N,3,8842,Sherman Oaks Center For Enriched Studies Magnet ,SP,4-12,2017,273,64%,9%,14%,13%
April SY 14-15,N,3,8842,Sherman Oaks Center For Enriched Studies Magnet ,SP,4-12,2018,266,92%,7%,1%,0%
April SY 14-15,XP,2,7777,Social Justice Leadership Academy At Torres High School ,S,9-12,2017,101,42%,25%,12%,22%
April SY 14-15,XP,2,7777,Social Justice Leadership Academy At Torres High School ,S,9-12,2018,102,52%,33%,8%,7%
April SY 14-15,XP,5,7707,Sonia Sotomayor Learn Acad School Of History & Dramatic Arts ,S,9-12,2017,98,36%,12%,13%,39%
April SY 14-15,XP,5,7707,Sonia Sotomayor Learn Acad School Of History & Dramatic Arts ,S,9-12,2018,86,69%,17%,12%,2%
April SY 14-15,XP,5,8577,Sonia Sotomayor Learning Academy La River School ,S,9-12,2017,88,48%,14%,18%,20%
April SY 14-15,XP,5,8577,Sonia Sotomayor Learning Academy La River School ,S,9-12,2018,88,67%,26%,6%,1%
April SY 14-15,S,5,8881,South East Senior High ,S,9-12,2017,531,73%,16%,3%,8%
April SY 14-15,S,5,8881,South East Senior High ,S,9-12,2018,661,57%,28%,10%,5%
April SY 14-15,S,5,8871,South Gate Senior High ,S,9-12,2017,702,79%,8%,4%,8%
April SY 14-15,S,5,8871,South Gate Senior High ,S,9-12,2018,710,74%,17%,7%,2%
April SY 14-15,N,3,8585,Stoney Point Continuation High ,C,9-12,2017,9,0%,33%,22%,44%
April SY 14-15,N,3,8585,Stoney Point Continuation High ,C,9-12,2018,9,11%,22%,44%,22%
April SY 14-15,XP,6,8396,Sun Valley Engineering Technology Magnet ,JS,6- 8,2017,63,65%,19%,6%,10%
April SY 14-15,XP,6,8396,Sun Valley Engineering Technology Magnet ,JS,6- 8,2018,86,23%,62%,14%,1%
April SY 14-15,XP,6,8093,Sun Valley Senior High ,S,9-12,2017,141,31%,21%,13%,35%
April SY 14-15,XP,6,8093,Sun Valley Senior High ,S,9-12,2018,147,21%,36%,26%,17%
April SY 14-15,XP,6,7658,Sylmar Biotech Health Academy ,S,9-11,2017,93,47%,14%,10%,29%
April SY 14-15,XP,6,7658,Sylmar Biotech Health Academy ,S,9-11,2018,90,70%,21%,9%,0%
April SY 14-15,N,6,8878,Sylmar Senior High ,S,9-12,2017,494,58%,14%,10%,18%
April SY 14-15,N,6,8878,Sylmar Senior High ,S,9-12,2018,560,51%,29%,12%,9%
April SY 14-15,XP,2,7749,Theodore Roosevelt Senior High ,S,9-12,2017,507,41%,12%,10%,37%
April SY 14-15,XP,2,7749,Theodore Roosevelt Senior High ,S,9-12,2018,379,57%,18%,19%,6%
April SY 14-15,XP,5,8714,Thomas Jefferson Senior High ,S,9-12,2017,246,57%,12%,15%,17%
April SY 14-15,XP,5,8714,Thomas Jefferson Senior High ,S,9-12,2018,199,53%,26%,19%,3%
April SY 14-15,N,4,8883,Thoreau Continuation High ,C,9-12,2017,4,0%,25%,50%,25%
April SY 14-15,E,2,8991,Tri-C Community Day School ,T,7-12,2017,33,15%,27%,21%,36%
April SY 14-15,E,2,8991,Tri-C Community Day School ,T,7-12,2018,25,4%,8%,16%,72%
April SY 14-15,N,3,8683,Ulysses S Grant Senior High ,S,9-12,2017,463,45%,17%,11%,26%
April SY 14-15,N,3,8683,Ulysses S Grant Senior High ,S,9-12,2018,523,65%,23%,8%,5%
April SY 14-15,W,4,8886,University Senior High ,S,9-12,2017,433,47%,13%,11%,29%
April SY 14-15,W,4,8886,University Senior High ,S,9-12,2018,436,43%,29%,19%,8%
April SY 14-15,N,3,8898,Valley Academy Of Arts And Sciences ,S,9-12,2017,259,70%,11%,7%,12%
April SY 14-15,N,3,8898,Valley Academy Of Arts And Sciences ,S,9-12,2018,300,87%,11%,1%,1%
April SY 14-15,N,3,7390,Valley Alternative Magnet ,SP,K-12,2017,48,79%,10%,6%,4%
April SY 14-15,N,3,7390,Valley Alternative Magnet ,SP,K-12,2018,59,86%,14%,0%,0%
April SY 14-15,N,6,8893,Van Nuys Senior High ,S,9-12,2017,620,53%,19%,13%,15%
April SY 14-15,N,6,8893,Van Nuys Senior High ,S,9-12,2018,687,67%,18%,8%,7%
April SY 14-15,W,4,8907,Venice Senior High ,S,9-12,2017,512,71%,12%,8%,10%
April SY 14-15,W,4,8907,Venice Senior High ,S,9-12,2018,518,59%,29%,7%,4%
April SY 14-15,N,6,8914,Verdugo Hills Senior High ,S,9-12,2017,376,47%,10%,13%,30%
April SY 14-15,N,6,8914,Verdugo Hills Senior High ,S,9-12,2018,377,37%,25%,20%,17%
April SY 14-15,W,1,8602,View Park Continuation High ,C,9-12,2017,11,0%,0%,18%,82%
April SY 14-15,XP,1,8928,Washington Preparatory Senior High School ,S,9-12,2017,294,29%,16%,12%,43%
April SY 14-15,XP,1,8928,Washington Preparatory Senior High School ,S,9-12,2018,300,51%,25%,17%,7%
April SY 14-15,XP,2,8748,West Adams Preparatory Senior High ,S,9-12,2017,358,42%,20%,19%,19%
April SY 14-15,XP,2,8748,West Adams Preparatory Senior High ,S,9-12,2018,431,45%,23%,24%,7%
April SY 14-15,W,4,8730,West Hollywood Community Day School ,T,7-12,2017,14,21%,14%,21%,43%
April SY 14-15,W,4,8730,West Hollywood Community Day School ,T,7-12,2018,7,14%,29%,0%,57%
April SY 14-15,W,4,8943,Westchester Enriched Sciences Magnets-Health/Sports Medicine ,SS,9-12,2017,291,44%,21%,13%,23%
April SY 14-15,W,4,8943,Westchester Enriched Sciences Magnets-Health/Sports Medicine ,SS,9-12,2018,306,45%,38%,17%,1%
April SY 14-15,W,4,8623,Whitman Continuation High ,C,9-12,2017,3,0%,0%,0%,100%
April SY 14-15,E,1,1914,Widney High School ,H,7-12,2017,1,0%,0%,0%,100%
April SY 14-15,S,7,1957,Willenberg Special Education Center ,H,PK-12,2017,22,0%,0%,0%,100%
April SY 14-15,S,7,1957,Willenberg Special Education Center ,H,PK-12,2018,16,0%,0%,0%,100%
April SY 14-15,N,4,8880,William Howard Taft Charter High School ,S,9-12,2017,556,65%,13%,7%,15%
April SY 14-15,N,4,8880,William Howard Taft Charter High School ,S,9-12,2018,675,75%,15%,5%,5%
April SY 14-15,S,7,8589,William J Johnston Community Day School ,T,7-12,2017,46,22%,15%,22%,41%
April SY 14-15,S,7,8589,William J Johnston Community Day School ,T,7-12,2018,28,7%,29%,43%,21%
April SY 14-15,E,2,8618,Woodrow Wilson Senior High ,S,9-12,2017,404,69%,15%,7%,9%
April SY 14-15,E,2,8618,Woodrow Wilson Senior High ,S,9-12,2018,391,80%,16%,3%,2%
April SY 14-15,W,1,8598,Young Continuation High ,C,9-12,2017,13,0%,8%,8%,85%
April SY 14-15,W,1,8598,Young Continuation High ,C,9-12,2018,5,0%,0%,20%,80%
April SY 14-15,S,1,8948,Youth Opportunities Unlimited ,O,9-12,2017,52,4%,10%,10%,77%
April SY 14-15,S,1,8948,Youth Opportunities Unlimited ,O,9-12,2018,12,8%,0%,8%,83%
April SY 14-15,N,6,8816,Zane Grey Continuation High ,C,9-12,2017,16,31%,31%,6%,31%
April SY 14-15,N,6,8816,Zane Grey Continuation High ,C,9-12,2018,4,0%,25%,50%,25%
