time,esc,board district,plocn,school name,school type,grades offered,graduating class,total students,meeting college requirements,missing one required course,missing two required courses,missing three or more required courses
April SY 14-15,XP,1,7666,Augustus F Hawkins Sh - Responsible Indigenous Soc Entrprenr ,S,9-12,2017,123,41%,20%,11%,28%
April SY 14-15,XP,1,7666,Augustus F Hawkins Sh - Responsible Indigenous Soc Entrprenr ,S,9-12,2018,111,62%,15%,15%,7%
April SY 14-15,S,7,8531,Avalon Continuation High ,C,9-12,2017,5,0%,20%,20%,60%
April SY 14-15,S,7,8531,Avalon Continuation High ,C,9-12,2018,1,0%,0%,100%,0%
April SY 14-15,XP,7,8529,Banning Senior High ,S,9-12,2017,389,72%,12%,4%,12%
April SY 14-15,XP,7,8529,Banning Senior High ,S,9-12,2018,481,62%,27%,8%,4%
April SY 14-15,XP,7,7632,Banning Senior High Creative And Innovative Sciences ,S,9-10,2017,223,76%,13%,5%,5%
April SY 14-15,XP,7,7632,Banning Senior High Creative And Innovative Sciences ,S,9-10,2018,262,49%,39%,11%,0%
April SY 14-15,S,5,8536,Bell Senior High ,S,9-12,2017,732,73%,16%,6%,5%
April SY 14-15,S,5,8536,Bell Senior High ,S,9-12,2018,818,69%,22%,7%,2%
April SY 14-15,XP,2,8543,Belmont Senior High ,S,9-12,2017,237,54%,12%,12%,23%
April SY 14-15,XP,2,8543,Belmont Senior High ,S,9-12,2018,289,24%,29%,11%,36%
April SY 14-15,XP,2,8210,Belmont Sh - Los Angeles Teacher Preparatory Academy ,S,9-12,2017,80,15%,4%,38%,44%
April SY 14-15,XP,2,8210,Belmont Sh - Los Angeles Teacher Preparatory Academy ,S,9-12,2018,75,29%,23%,47%,1%
April SY 14-15,XP,5,8643,Benjamin Franklin Senior High ,S,9-12,2017,331,54%,17%,10%,20%
April SY 14-15,XP,5,8643,Benjamin Franklin Senior High ,S,9-12,2018,399,47%,32%,12%,9%
April SY 14-15,E,2,8831,Boyle Heights Continuation High ,C,9-12,2017,12,25%,0%,17%,58%
